,id,title,type,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1077,tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"['romance', 'comedy', 'drama']",0.0,8.8,1994599.0,57.114,8.5
1078,tm28142,Gladiator,MOVIE,2000,R,155,"['drama', 'action']",0.0,8.5,1453300.0,52.29,8.2
1079,ts21555,Jackass,SHOW,2000,TV-MA,22,"['comedy', 'reality', 'action']",3.0,7.3,24914.0,17.667,6.4
1080,tm190572,Grosse Pointe Blank,MOVIE,1997,R,107,"['thriller', 'action', 'comedy', 'crime', 'romance']",0.0,7.3,93627.0,11.145,7.0
1081,ts22477,Star Trek: Voyager,SHOW,1995,TV-PG,46,"['scifi', 'action', 'european']",7.0,7.8,67266.0,62.29,7.9
1082,tm57554,Saving Private Ryan,MOVIE,1998,R,169,"['drama', 'war']",0.0,8.6,1346020.0,54.873999999999995,8.2
1083,tm60722,Galaxy Quest,MOVIE,1999,PG,101,"['scifi', 'comedy']",0.0,7.4,161412.0,13.995999999999999,7.1
1084,ts4430,Freaks and Geeks,SHOW,1999,TV-14,44,"['drama', 'comedy']",1.0,8.7,137983.0,24.480999999999998,8.1
1085,tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,"['thriller', 'action']",0.0,7.1,413831.0,31.846,6.9
1086,ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",7.0,8.1,61145.0,61.159,7.9
1087,ts5145,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",37.0,7.8,3274.0,15.699000000000002,7.6
1088,tm14930,Tommy Boy,MOVIE,1995,PG-13,97,"['comedy', 'european']",0.0,7.1,85820.0,10.594000000000001,6.8
1089,tm116655,Léon: The Professional,MOVIE,1994,R,110,"['crime', 'thriller', 'action', 'drama', 'european']",0.0,8.5,1126151.0,41.872,8.3
1090,ts6139,Beavis and Butt-head,SHOW,1993,TV-14,17,"['comedy', 'animation', 'music']",8.0,7.5,30480.0,24.64,7.1
1091,tm182885,Groundhog Day,MOVIE,1993,PG,101,"['comedy', 'fantasy', 'drama', 'romance']",0.0,8.1,613774.0,20.682,7.6
1092,tm52866,Sleepy Hollow,MOVIE,1999,R,105,"['fantasy', 'thriller', 'horror']",0.0,7.3,352644.0,51.7,7.1
1093,tm18563,Scary Movie,MOVIE,2000,R,88,['comedy'],0.0,6.2,254834.0,98.845,6.3
1094,ts18517,CSI: Crime Scene Investigation,SHOW,2000,TV-14,47,"['drama', 'comedy', 'thriller', 'crime']",16.0,7.7,82894.0,107.037,7.7
1095,ts20921,Sonic the Hedgehog,SHOW,1993,TV-Y7,24,"['scifi', 'family', 'fantasy', 'action', 'romance', 'animation', 'comedy', 'war', 'thriller']",3.0,6.8,5073.0,24.845,7.0
1096,tm125008,Bram Stoker's Dracula,MOVIE,1992,R,122,"['horror', 'fantasy', 'romance', 'drama']",0.0,7.4,212013.0,35.059,7.4
1097,tm117760,The Crow,MOVIE,1994,R,102,"['fantasy', 'thriller', 'action', 'crime', 'drama', 'horror']",0.0,7.5,179380.0,25.423000000000002,7.5
